especie,subfamily,genus,winged_queen,queen_HeadWidth,observations,antwiki
Acropyga_donisthorpei,Formicinae,Acropyga,Yes,0.612,"a largura da cabeca vem do individuo ou individuos usados na descricao, que estao no site do antwiki. Para essa especie foi usado apenas um individuo",https://antwiki.org/wiki/Acropyga_donisthorpei
Anochetus_horridus,Ponerinae,Anochetus,Unknown,NA,Rainha ergatoide ,https://antwiki.org/wiki/Anochetus_horridus
Anochetus_mayri,Ponerinae,Anochetus,Yes,NA,NA,https://antwiki.org/wiki/Anochetus_mayri
Anochetus_targionii,Ponerinae,Anochetus,Yes,NA,NA,https://antwiki.org/wiki/Anochetus_targionii
Apterostigma_sp.1,Myrmicinae,Apterostigma,Unknown,NA,NA,NA
Apterostigma_sp.2,Myrmicinae,Apterostigma,Unknown,NA,NA,NA
Blepharidatta_brasiliensis,Myrmicinae,Blepharidatta,Yes,0.5,Tem Rainha alada e tem ergatoide ,https://antwiki.org/wiki/Blepharidatta_brasiliensis
Brachymyrmex_cordemoyi,Formicinae,Brachymyrmex,Yes,NA,NA,https://antwiki.org/wiki/Brachymyrmex_cordemoyi
Brachymyrmex_heeri,Formicinae,Brachymyrmex,Yes,NA,NA,https://antwiki.org/wiki/Brachymyrmex_heeri
Carebara_brasiliana,Myrmicinae,Carebara,Yes,NA,NA,https://antwiki.org/wiki/Carebara_brasiliana
Carebara_reticulata,Myrmicinae,Carebara,Yes,NA,NA,https://antwiki.org/wiki/Carebara_reticulata
Carebara_sp.1,Myrmicinae,Carebara,Unknown,NA,NA,NA
Cephalotes_pallens,Myrmicinae,Cephalotes,Yes,1.56,mean between 1.52 and 1.60,https://antwiki.org/wiki/Cephalotes_pallens
Cephalotes_pallidus,Myrmicinae,Cephalotes,Yes,1.41,mean between 1.40 and 1.42,https://antwiki.org/wiki/Cephalotes_pallidus
Cephalotes_pusillus,Myrmicinae,Cephalotes,Yes,2.23,mean between 2.10 and 2.36,https://antwiki.org/wiki/Cephalotes_pusillus
