landscape,number_patches,forest_cover,point,point_ID,sampling_date,long,lat,long_utm,lat_utm
S1,48,42.55,1,S1_1,04/12/2024,-59.352651,-1.818951,238266,9798780
S1,48,42.55,2,S1_2,04/12/2024,-59.340674,-1.825113,239600,9798100
S1,48,42.55,3,S1_3,04/12/2024,-59.335557,-1.821043,240169,9798551
S1,48,42.55,4,S1_4,04/12/2024,-59.320901,-1.817907,241800,9798900
S1,48,42.55,5,S1_5,04/12/2024,-59.329005,-1.80421,240896,9800414
S1,48,42.55,6,S1_6,04/12/2024,-59.321113,-1.793716,241773,9801576
S1,48,42.55,7,S1_7,04/12/2024,-59.338846,-1.800708,239800,9800800
S1,48,42.55,8,S1_8,04/12/2024,-59.341533,-1.794377,239500,9801500
S1,48,42.55,9,S1_9,04/12/2024,-59.348199,-1.794522,238758,9801483
S1,48,42.55,10,S1_10,04/12/2024,-59.345719,-1.807705,239036,9800025
S2,42,26.97,1,S2_1,16/11/2024,-59.671735,-1.531839,202700,9830500
S2,42,26.97,2,S2_2,16/11/2024,-59.665085,-1.52834,203440,9830888
S2,42,26.97,3,S2_3,16/11/2024,-59.66274,-1.520101,203700,9831800
S2,42,26.97,4,S2_4,16/11/2024,-59.654666,-1.526437,204600,9831100
S2,42,26.97,5,S2_5,16/11/2024,-59.650182,-1.531866,205100,9830500
S2,42,26.97,6,S2_6,16/11/2024,-59.647472,-1.518313,205400,9832000
S2,42,26.97,7,S2_7,16/11/2024,-59.651043,-1.501137,205000,9833900
S2,42,26.97,8,S2_8,16/11/2024,-59.654793,-1.505344,204583,9833434
S2,42,26.97,9,S2_9,16/11/2024,-59.669011,-1.507441,203000,9833200
S2,42,26.97,10,S2_10,16/11/2024,-59.675298,-1.508337,202300,9833100
S3,57,35.72,1,S3_1,10/11/2024,-59.746095,-1.389866,194400,9846200
S3,57,35.72,2,S3_2,10/11/2024,-59.727237,-1.388081,196500,9846400
S3,57,35.72,3,S3_3,10/11/2024,-59.720258,-1.37869,197276,9847440
S3,57,35.72,4,S3_4,10/11/2024,-59.729916,-1.375426,196200,9847800
S3,57,35.72,5,S3_5,10/11/2024,-59.721556,-1.366471,197130,9848792
S3,57,35.72,6,S3_6,10/11/2024,-59.736182,-1.358249,195500,9849700
S3,57,35.72,7,S3_7,10/11/2024,-59.744268,-1.362758,194600,9849200
S3,57,35.72,8,S3_8,10/11/2024,-59.741578,-1.365472,194900,9848900
S3,57,35.72,9,S3_9,10/11/2024,-59.733499,-1.367289,195800,9848700
S3,57,35.72,10,S3_10,10/11/2024,-59.744276,-1.369987,194600,9848400
S4,41,27.91,1,S4_1,24/11/2024,-59.77924,-1.322966,190700,9853599
S4,41,27.91,2,S4_2,24/11/2024,-59.772956,-1.322973,191400,9853599
S4,41,27.91,3,S4_3,24/11/2024,-59.76308,-1.323878,192500,9853500
S4,41,27.91,4,S4_4,24/11/2024,-59.772069,-1.332905,191500,9852500
S4,41,27.91,5,S4_5,24/11/2024,-59.763991,-1.335625,192400,9852200
S4,41,27.91,6,S4_6,24/11/2024,-59.753919,-1.337399,193522,9852005
S4,41,27.91,7,S4_7,24/11/2024,-59.761151,-1.34124,192717,9851579
S4,41,27.91,8,S4_8,24/11/2024,-59.754126,-1.345577,193500,9851100
S4,41,27.91,9,S4_9,24/11/2024,-59.763587,-1.351205,192447,9850476
S4,41,27.91,10,S4_10,24/11/2024,-59.774175,-1.345581,191267,9851097
S7,41,43.62,1,S7_1,23/11/2024,-59.87051,-1.577717,180570,9825394
S7,41,43.62,2,S7_2,23/11/2024,-59.862141,-1.602722,181506,9822628
S7,41,43.62,3,S7_3,23/11/2024,-59.874782,-1.602053,180098,9822700
S7,41,43.62,4,S7_4,23/11/2024,-59.875265,-1.594119,180043,9823578
S7,41,43.62,5,S7_5,23/11/2024,-59.888919,-1.598925,178523,9823044
S7,41,43.62,6,S7_6,23/11/2024,-59.888012,-1.59214,178623,9823795
S7,41,43.62,7,S7_7,23/11/2024,-59.882744,-1.587558,179209,9824303
S7,41,43.62,8,S7_8,23/11/2024,-59.879561,-1.584345,179563,9824659
S7,41,43.62,9,S7_9,23/11/2024,-59.879222,-1.579458,179600,9825200
S7,41,43.62,10,S7_10,23/11/2024,-59.888029,-1.578487,178619,9825306
S8,41,26.56,1,S8_1,26/11/2024,-59.968076,-1.556744,169700,9827700
S8,41,26.56,2,S8_2,26/11/2024,-59.966269,-1.548624,169900,9828599
S8,41,26.56,3,S8_3,26/11/2024,-59.972672,-1.550006,169187,9828445
S8,41,26.56,4,S8_4,26/11/2024,-59.974566,-1.555696,168977,9827815
S8,41,26.56,5,S8_5,26/11/2024,-59.983137,-1.55422,168022,9827977
S8,41,26.56,6,S8_6,26/11/2024,-59.984237,-1.557634,167900,9827599
S8,41,26.56,7,S8_7,26/11/2024,-59.997575,-1.568249,166416,9826422
S8,41,26.56,8,S8_8,26/11/2024,-59.997692,-1.555202,166401,9827866
S8,41,26.56,9,S8_9,26/11/2024,-59.997758,-1.544884,166392,9829008
S8,41,26.56,10,S8_10,26/11/2024,-59.985725,-1.549401,167733,9828510
S9,41,45.27,1,S9_1,27/11/2024,-59.629121,-1.430932,207432,9841671
S9,41,45.27,2,S9_2,27/11/2024,-59.633009,-1.437895,207000,9840900
S9,41,45.27,3,S9_3,27/11/2024,-59.633913,-1.443317,206900,9840300
S9,41,45.27,4,S9_4,27/11/2024,-59.637542,-1.444036,206496,9840220
S9,41,45.27,5,S9_5,27/11/2024,-59.639373,-1.451526,206293,9839391
S9,41,45.27,6,S9_6,27/11/2024,-59.637672,-1.455558,206483,9838945
S9,41,45.27,7,S9_7,27/11/2024,-59.626721,-1.460361,207703,9838415
S9,41,45.27,8,S9_8,27/11/2024,-59.620381,-1.460007,208409,9838455
S9,41,45.27,9,S9_9,27/11/2024,-59.616137,-1.455539,208881,9838950
S9,41,45.27,10,S9_10,27/11/2024,-59.618784,-1.445657,208585,9840043
S10,47,36.22,1,S10_1,12/11/2024,-59.626465,-1.334367,207716,9852356
S10,47,36.22,2,S10_2,12/11/2024,-59.612195,-1.333451,209305,9852459
S10,47,36.22,3,S10_3,12/11/2024,-59.616738,-1.341219,208800,9851599
S10,47,36.22,4,S10_4,12/11/2024,-59.621219,-1.33308,208300,9852499
S10,47,36.22,5,S10_5,12/11/2024,-59.618543,-1.349351,208600,9850699
S10,47,36.22,6,S10_6,12/11/2024,-59.622274,-1.353956,208185,9850189
S10,47,36.22,7,S10_7,12/11/2024,-59.639196,-1.341421,206299,9851574
S10,47,36.22,8,S10_8,12/11/2024,-59.622242,-1.324041,208185,9853499
S10,47,36.22,9,S10_9,12/11/2024,-59.639192,-1.345705,206300,9851100
S10,47,36.22,10,S10_10,12/11/2024,-59.632375,-1.327338,207057,9853133
M2,38,26.31,1,M2_1,06/12/2024,-59.418665,-1.821746,230918,9798461
M2,38,26.31,2,M2_2,06/12/2024,-59.416586,-1.812647,231148,9799468
M2,38,26.31,3,M2_3,06/12/2024,-59.411065,-1.808559,231762,9799921
M2,38,26.31,4,M2_4,06/12/2024,-59.392749,-1.802446,233800,9800600
M2,38,26.31,5,M2_5,06/12/2024,-59.396121,-1.797416,233424,9801156
M2,38,26.31,6,M2_6,06/12/2024,-59.412514,-1.803324,231600,9800500
M2,38,26.31,7,M2_7,06/12/2024,-59.416078,-1.80152,231203,9800699
M2,38,26.31,8,M2_8,06/12/2024,-59.419358,-1.796092,230837,9801299
M2,38,26.31,9,M2_9,06/12/2024,-59.400981,-1.797545,232883,9801141
M2,38,26.31,10,M2_10,06/12/2024,-59.423338,-1.802749,230395,9800562
M6,26,40.65,1,M6_1,01/12/2024,-59.709831,-1.809237,198500,9799799
M6,26,40.65,2,M6_2,01/12/2024,-59.709772,-1.799866,198505,9800836
M6,26,40.65,3,M6_3,01/12/2024,-59.702634,-1.801115,199300,9800699
M6,26,40.65,4,M6_4,01/12/2024,-59.70352,-1.792971,199200,9801600
M6,26,40.65,5,M6_5,01/12/2024,-59.696592,-1.796714,199972,9801187
M6,26,40.65,6,M6_6,01/12/2024,-59.69376,-1.806776,200289,9800074
M6,26,40.65,7,M6_7,01/12/2024,-59.68764,-1.804056,200970,9800376
M6,26,40.65,8,M6_8,01/12/2024,-59.690188,-1.814328,200688,9799239
