"","landscape","max_flight_dist","richness","type","Acropyga_donisthorpei","Anochetus_mayri","Anochetus_targionii","Blepharidatta_brasiliensis","Brachymyrmex_cordemoyi","Brachymyrmex_heeri","Carebara_brasiliana","Carebara_reticulata","Cephalotes_pallens","Cephalotes_pallidus","Cephalotes_pusillus","Crematogaster_brasiliensis","Crematogaster_erecta","Crematogaster_flavomicrops","Cyphomyrmex_hamulatus","Cyphomyrmex_laevigatus","Cyphomyrmex_major","Cyphomyrmex_minutus","Cyphomyrmex_peltatus","Discothyrea_horni","Discothyrea_sexarticulata","Dolichoderus_lutosus","Ectatomma_muticum","Ectatomma_tuberculatum","Fulakora_lurilabes","Holcoponera_relicta","Holcoponera_striatula","Hylomyrma_mariae","Hypoponera_sp.1","Hypoponera_sp.2","Hypoponera_sp.3","Hypoponera_sp.4","Hypoponera_sp.5","Hypoponera_sp.6","Hypoponera_sp.7","Hypoponera_sp.8","Hypoponera_distinguenda","Megalomyrmex_silvestrii","Mycocepurus_goeldii","Myrmicocrypta_buenzlii","Myrmicocrypta_squamosa","Nylanderia_guatemalensis","Nylanderia_steinheili","Ochetomyrmex_neopolitus","Octostruma_balzani","Octostruma_betschi","Octostruma_iheringi","Odontomachus_meinerti","Odontomachus_scalptus","Odontomachus_spissus","Pachycondyla_harpax","Paratrachymyrmex_diversus","Pheidole_bufo","Pheidole_cataractae","Pheidole_cursor","Pheidole_demeter","Pheidole_embolopyx","Pheidole_flavens","Pheidole_fracticeps","Pheidole_jelskii","Pheidole_mamore","Pheidole_meinerti","Pheidole_microps","Pheidole_rudigenis","Pheidole_scolioceps","Pheidole_susannae","Pheidole_transversostriata","Pseudomyrmex_cubaensis","Pseudoponera_gilberti","Rhopalothrix_sp.1","Rhopalothrix_mariaemirae","Rogeria_belti","Rogeria_micromma","Rogeria_subarmata","Sericomyrmex_mayri","Sericomyrmex_saussurei","Solenopsis_richteri","Solenopsis_terricola","Strumigenys_beebei","Strumigenys_crassicornis","Strumigenys_denticulata","Strumigenys_elongata","Strumigenys_metopia","Strumigenys_perparva","Strumigenys_stenotes","Strumigenys_trudifera","Strumigenys_villiersi","Typhlomyrmex_encanto","Wasmannia_auropunctata","Cryptomyrmex_longinodus","Talaridris_mandibularis","Octostruma_amrishi"
"1","L1",63.42,31,"FL",1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
"2","L10",40.32,31,"FL",0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
"3","L2",20.52,32,"FL",0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0
"4","L3",50,20,"FL",1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0
"5","L4",38.59,27,"FL",1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"6","L7",39.04,38,"FL",0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1
"7","L8",52.66,29,"FL",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0
"8","L9",49.14,27,"FL",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0
"9","M10",60.16,25,"MS",0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
"10","M2",31.95,27,"MS",1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
