landscapeID	islands	alpha	beta	gamma
L1	18	8	5.125	41
L10	14	8.4	4.761904762	40
L2	15	10.2	4.31372549	44
L3	19	5.2	5.769230769	30
L4	14	6.5	5.076923077	33
L7	15	9.8	5.306122449	52
L8	10	9.6	4.583333333	44
L9	16	9	4.111111111	37
M10	37	6.3	5.555555556	35
M2	38	7	5.142857143	36
M6	26	8.6	4.88372093	42
M9	27	6.2	5	31
S1	48	5	5.8	29
S10	47	6.3	5.396825397	34
S2	42	7.9	5.569620253	44
S3	57	5.3	5.849056604	31
S4	41	5.5	5.454545455	30
S7	41	5.8	5.862068966	34
S8	41	5.4	5.925925926	32
S9	41	7.9	5.189873418	41
