"","landscape","number_patches","forest_cover","point","point_ID","sampling_date","long","lat","patch_area"
"1","S1",48,42.55,1,"S1_1","04/12/2024",-59.352651,-1.818951,15.75
"2","S1",48,42.55,2,"S1_2","04/12/2024",-59.340674,-1.825113,15.75
"3","S1",48,42.55,3,"S1_3","04/12/2024",-59.335557,-1.821043,10.53
"4","S1",48,42.55,4,"S1_4","04/12/2024",-59.320901,-1.817907,19.62
"5","S1",48,42.55,5,"S1_5","04/12/2024",-59.329005,-1.80421,9.81
"6","S1",48,42.55,6,"S1_6","04/12/2024",-59.321113,-1.793716,3.42
"7","S1",48,42.55,7,"S1_7","04/12/2024",-59.338846,-1.800708,77.22
"8","S1",48,42.55,8,"S1_8","04/12/2024",-59.341533,-1.794377,35.37
"9","S1",48,42.55,9,"S1_9","04/12/2024",-59.348199,-1.794522,4.95
"10","S1",48,42.55,10,"S1_10","04/12/2024",-59.345719,-1.807705,12.51
"11","S2",42,26.97,1,"S2_1","16/11/2024",-59.671735,-1.531839,9.36
"12","S2",42,26.97,2,"S2_2","16/11/2024",-59.665085,-1.52834,9.9
"13","S2",42,26.97,3,"S2_3","16/11/2024",-59.66274,-1.520101,25.38
"14","S2",42,26.97,4,"S2_4","16/11/2024",-59.654666,-1.526437,28.71
"15","S2",42,26.97,5,"S2_5","16/11/2024",-59.650182,-1.531866,22.68
"16","S2",42,26.97,6,"S2_6","16/11/2024",-59.647472,-1.518313,54.72
"17","S2",42,26.97,7,"S2_7","16/11/2024",-59.651043,-1.501137,6.03
"18","S2",42,26.97,8,"S2_8","16/11/2024",-59.654793,-1.505344,20.97
"19","S2",42,26.97,9,"S2_9","16/11/2024",-59.669011,-1.507441,55.08
"20","S2",42,26.97,10,"S2_10","16/11/2024",-59.675298,-1.508337,20.16
"21","S3",57,35.72,1,"S3_1","10/11/2024",-59.746095,-1.389866,16.47
"22","S3",57,35.72,2,"S3_2","10/11/2024",-59.727237,-1.388081,19.26
"23","S3",57,35.72,3,"S3_3","10/11/2024",-59.720258,-1.37869,6.84
"24","S3",57,35.72,4,"S3_4","10/11/2024",-59.729916,-1.375426,49.32
"25","S3",57,35.72,5,"S3_5","10/11/2024",-59.721556,-1.366471,7.02
"26","S3",57,35.72,6,"S3_6","10/11/2024",-59.736182,-1.358249,24.48
"27","S3",57,35.72,7,"S3_7","10/11/2024",-59.744268,-1.362758,41.4
"28","S3",57,35.72,8,"S3_8","10/11/2024",-59.741578,-1.365472,41.4
"29","S3",57,35.72,9,"S3_9","10/11/2024",-59.733499,-1.367289,94.86
"30","S3",57,35.72,10,"S3_10","10/11/2024",-59.744276,-1.369987,13.41
"31","S4",41,27.91,1,"S4_1","24/11/2024",-59.77924,-1.322966,28.44
"32","S4",41,27.91,2,"S4_2","24/11/2024",-59.772956,-1.322973,25.74
"33","S4",41,27.91,3,"S4_3","24/11/2024",-59.76308,-1.323878,28.08
"34","S4",41,27.91,4,"S4_4","24/11/2024",-59.772069,-1.332905,46.17
"35","S4",41,27.91,5,"S4_5","24/11/2024",-59.763991,-1.335625,46.35
"36","S4",41,27.91,6,"S4_6","24/11/2024",-59.753919,-1.337399,9.45
"37","S4",41,27.91,7,"S4_7","24/11/2024",-59.761151,-1.34124,19.89
"38","S4",41,27.91,8,"S4_8","24/11/2024",-59.754126,-1.345577,67.95
"39","S4",41,27.91,9,"S4_9","24/11/2024",-59.763587,-1.351205,8.01
"40","S4",41,27.91,10,"S4_10","24/11/2024",-59.774175,-1.345581,9.36
"41","S7",41,43.62,1,"S7_1","23/11/2024",-59.87051,-1.577717,26.1
"42","S7",41,43.62,2,"S7_2","23/11/2024",-59.862141,-1.602722,9.27
"43","S7",41,43.62,3,"S7_3","23/11/2024",-59.874782,-1.602053,14.67
"44","S7",41,43.62,4,"S7_4","23/11/2024",-59.875265,-1.594119,45.72
"45","S7",41,43.62,5,"S7_5","23/11/2024",-59.888919,-1.598925,12.42
"46","S7",41,43.62,6,"S7_6","23/11/2024",-59.888012,-1.59214,8.37
"47","S7",41,43.62,7,"S7_7","23/11/2024",-59.882744,-1.587558,16.74
"48","S7",41,43.62,8,"S7_8","23/11/2024",-59.879561,-1.584345,57.15
"49","S7",41,43.62,9,"S7_9","23/11/2024",-59.879222,-1.579458,57.15
"50","S7",41,43.62,10,"S7_10","23/11/2024",-59.888029,-1.578487,10.8
"51","S8",41,26.56,1,"S8_1","26/11/2024",-59.968076,-1.556744,98.91
"52","S8",41,26.56,2,"S8_2","26/11/2024",-59.966269,-1.548624,24.21
"53","S8",41,26.56,3,"S8_3","26/11/2024",-59.972672,-1.550006,21.06
"54","S8",41,26.56,4,"S8_4","26/11/2024",-59.974566,-1.555696,98.91
"55","S8",41,26.56,5,"S8_5","26/11/2024",-59.983137,-1.55422,12.6
"56","S8",41,26.56,6,"S8_6","26/11/2024",-59.984237,-1.557634,20.07
"57","S8",41,26.56,7,"S8_7","26/11/2024",-59.997575,-1.568249,12.42
"58","S8",41,26.56,8,"S8_8","26/11/2024",-59.997692,-1.555202,25.02
"59","S8",41,26.56,9,"S8_9","26/11/2024",-59.997758,-1.544884,6.21
"60","S8",41,26.56,10,"S8_10","26/11/2024",-59.985725,-1.549401,19.26
"61","S9",41,45.27,1,"S9_1","27/11/2024",-59.629121,-1.430932,71.55
"62","S9",41,45.27,2,"S9_2","27/11/2024",-59.633009,-1.437895,71.55
"63","S9",41,45.27,3,"S9_3","27/11/2024",-59.633913,-1.443317,105.48
"64","S9",41,45.27,4,"S9_4","27/11/2024",-59.637542,-1.444036,12.6
"65","S9",41,45.27,5,"S9_5","27/11/2024",-59.639373,-1.451526,105.48
"66","S9",41,45.27,6,"S9_6","27/11/2024",-59.637672,-1.455558,14.04
"67","S9",41,45.27,7,"S9_7","27/11/2024",-59.626721,-1.460361,31.77
"68","S9",41,45.27,8,"S9_8","27/11/2024",-59.620381,-1.460007,8.19
"69","S9",41,45.27,9,"S9_9","27/11/2024",-59.616137,-1.455539,4.77
"70","S9",41,45.27,10,"S9_10","27/11/2024",-59.618784,-1.445657,9.72
"71","S10",47,36.22,1,"S10_1","12/11/2024",-59.626465,-1.334367,11.52
"72","S10",47,36.22,2,"S10_2","12/11/2024",-59.612195,-1.333451,61.65
"73","S10",47,36.22,3,"S10_3","12/11/2024",-59.616738,-1.341219,61.65
"74","S10",47,36.22,4,"S10_4","12/11/2024",-59.621219,-1.33308,66.78
"75","S10",47,36.22,5,"S10_5","12/11/2024",-59.618543,-1.349351,19.53
"76","S10",47,36.22,6,"S10_6","12/11/2024",-59.622274,-1.353956,19.35
"77","S10",47,36.22,7,"S10_7","12/11/2024",-59.639196,-1.341421,8.82
"78","S10",47,36.22,8,"S10_8","12/11/2024",-59.622242,-1.324041,40.41
"79","S10",47,36.22,9,"S10_9","12/11/2024",-59.639192,-1.345705,19.89
"80","S10",47,36.22,10,"S10_10","12/11/2024",-59.632375,-1.327338,12.87
"81","M2",38,26.31,1,"M2_1","06/12/2024",-59.418665,-1.821746,8.82
"82","M2",38,26.31,2,"M2_2","06/12/2024",-59.416586,-1.812647,8.82
"83","M2",38,26.31,3,"M2_3","06/12/2024",-59.411065,-1.808559,11.34
"84","M2",38,26.31,4,"M2_4","06/12/2024",-59.392749,-1.802446,10.17
"85","M2",38,26.31,5,"M2_5","06/12/2024",-59.396121,-1.797416,11.25
"86","M2",38,26.31,6,"M2_6","06/12/2024",-59.412514,-1.803324,11.7
"87","M2",38,26.31,7,"M2_7","06/12/2024",-59.416078,-1.80152,96.48
"88","M2",38,26.31,8,"M2_8","06/12/2024",-59.419358,-1.796092,96.48
"89","M2",38,26.31,9,"M2_9","06/12/2024",-59.400981,-1.797545,20.16
"90","M2",38,26.31,10,"M2_10","06/12/2024",-59.423338,-1.802749,9.36
"91","M6",26,40.65,1,"M6_1","01/12/2024",-59.709831,-1.809237,298.44
"92","M6",26,40.65,2,"M6_2","01/12/2024",-59.709772,-1.799866,54.99
"93","M6",26,40.65,3,"M6_3","01/12/2024",-59.702634,-1.801115,40.23
"94","M6",26,40.65,4,"M6_4","01/12/2024",-59.70352,-1.792971,19.35
"95","M6",26,40.65,5,"M6_5","01/12/2024",-59.696592,-1.796714,15.3
"96","M6",26,40.65,6,"M6_6","01/12/2024",-59.69376,-1.806776,22.5
"97","M6",26,40.65,7,"M6_7","01/12/2024",-59.68764,-1.804056,31.95
"98","M6",26,40.65,8,"M6_8","01/12/2024",-59.690188,-1.814328,31.23
"99","M6",26,40.65,9,"M6_9","01/12/2024",-59.693876,-1.818253,17.82
"100","M6",26,40.65,10,"M6_10","01/12/2024",-59.707148,-1.816462,298.44
"101","M9",27,45.75,1,"M9_1","15/11/2024",-59.925166,-1.547299,42.84
"102","M9",27,45.75,2,"M9_2","15/11/2024",-59.924847,-1.557221,6.3
"103","M9",27,45.75,3,"M9_3","15/11/2024",-59.926561,-1.563001,24.03
"104","M9",27,45.75,4,"M9_4","15/11/2024",-59.92544,-1.570158,8.64
"105","M9",27,45.75,5,"M9_5","15/11/2024",-59.92796,-1.55529,33.21
"106","M9",27,45.75,6,"M9_6","15/11/2024",-59.9215,-1.558526,23.22
"107","M9",27,45.75,7,"M9_7","15/11/2024",-59.916383,-1.552173,497.88
"108","M9",27,45.75,8,"M9_8","15/11/2024",-59.910384,-1.544609,497.88
"109","M9",27,45.75,9,"M9_9","15/11/2024",-59.900587,-1.543511,497.88
"110","M9",27,45.75,10,"M9_10","15/11/2024",-59.899587,-1.554211,497.88
"111","M10",37,33.82,1,"M10_1","11/11/2024",-59.709704,-1.422026,34.65
"112","M10",37,33.82,2,"M10_2","11/11/2024",-59.702699,-1.421429,11.16
"113","M10",37,33.82,3,"M10_3","11/11/2024",-59.696746,-1.421563,25.92
"114","M10",37,33.82,4,"M10_4","11/11/2024",-59.69943,-1.413426,23.85
"115","M10",37,33.82,5,"M10_5","11/11/2024",-59.688175,-1.417488,220.95
"116","M10",37,33.82,6,"M10_6","11/11/2024",-59.683322,-1.414493,12.24
"117","M10",37,33.82,7,"M10_7","11/11/2024",-59.680015,-1.403851,7.29
"118","M10",37,33.82,8,"M10_8","11/11/2024",-59.691994,-1.396562,30.78
"119","M10",37,33.82,9,"M10_9","11/11/2024",-59.703585,-1.395076,28.44
"120","M10",37,33.82,10,"M10_10","11/11/2024",-59.710377,-1.398782,19.35
"121","L1",18,41.11,1,"L1_1","05/12/2024",-59.484352,-1.785149,169.38
"122","L1",18,41.11,2,"L1_2","05/12/2024",-59.478063,-1.784263,169.38
"123","L1",18,41.11,3,"L1_3","05/12/2024",-59.470868,-1.777032,53.64
"124","L1",18,41.11,4,"L1_4","05/12/2024",-59.473339,-1.763905,92.07
"125","L1",18,41.11,5,"L1_5","05/12/2024",-59.471761,-1.773416,53.64
"126","L1",18,41.11,6,"L1_6","05/12/2024",-59.480741,-1.771596,25.47
"127","L1",18,41.11,7,"L1_7","05/12/2024",-59.49616,-1.76852,29.79
"128","L1",18,41.11,8,"L1_8","05/12/2024",-59.46456,-1.761675,92.07
"129","L1",18,41.11,9,"L1_9","05/12/2024",-59.490612,-1.75713,90
"130","L1",18,41.11,10,"L1_10","05/12/2024",-59.496889,-1.756208,90
"131","L2",15,47.1,1,"L2_1","30/11/2024",-59.558822,-1.723587,203.94
"132","L2",15,47.1,2,"L2_2","30/11/2024",-59.550742,-1.719078,203.94
"133","L2",15,47.1,3,"L2_3","30/11/2024",-59.555223,-1.719072,203.94
"134","L2",15,47.1,4,"L2_4","30/11/2024",-59.544796,-1.719204,164.43
"135","L2",15,47.1,5,"L2_5","30/11/2024",-59.541758,-1.724513,164.43
"136","L2",15,47.1,6,"L2_6","30/11/2024",-59.536832,-1.728163,164.43
"137","L2",15,47.1,7,"L2_7","30/11/2024",-59.540916,-1.719742,164.43
"138","L2",15,47.1,8,"L2_8","30/11/2024",-59.539096,-1.74893,213.39
"139","L2",15,47.1,9,"L2_9","30/11/2024",-59.541788,-1.747109,213.39
"140","L2",15,47.1,10,"L2_10","30/11/2024",-59.551661,-1.741673,213.39
"141","L3",19,31.28,1,"L3_1","02/12/2024",-59.623742,-1.678264,119.61
"142","L3",19,31.28,2,"L3_2","02/12/2024",-59.61086,-1.675615,119.61
"143","L3",19,31.28,3,"L3_3","02/12/2024",-59.626101,-1.662047,50.22
"144","L3",19,31.28,4,"L3_4","02/12/2024",-59.615318,-1.657534,98.82
